wdid,spectype,teff,logg
* alf CMa B,DA,26083.0,8.61
* omi02 Eri B,DA,16265.0,7.916
1H 0201-029,DA,26000.0,8.0
1H 0307-426,DA,25000.0,8.0
1RXS J000359.1+433600,DA,46850.0,9.05
1RXS J023947.9+500349,DA,34150.0,8.67
1RXS J041051.2+592522,DA,30640.0,7.94
1RXS J055047.4-240853,DA,54380.0,8.02
1RXS J062052.2+132436,DA,52790.0,7.89
1RXS J063340.1+200149,DA,61170.0,8.97
1RXS J072817.0+273129,DA,49011.0,8.0
1RXS J091657.6-194613,DA,61920.0,9.32
1RXS J093922.8+264404,DA,55978.0,7.82
1RXS J101340.6+061556,DA,14375.0,7.64
1RXS J120428.0+581934,DA,16786.0,8.266
1RXS J132634.4+571052,DA,95875.0,7.411
1RXS J143738.0+362237,DA,39884.0,7.36
1RXS J163421.8+365859,DA,10358.0,8.325
1RXS J174614.9-703902,DA,52260.0,8.75
1RXS J203455.3-273457,DA,55956.0,7.78
1RXS J232431.0-544148,DA,45920.0,7.82
2MASS J00035692-0503328,DA+M,17106.0,8.07
2MASS J00044434+2646181,DA+M,,
2MASS J00050491+2434098,DA+dM4.5,7597.0,5.0
2MASS J00053105-0543432,DA+dM5,16417.0,7.33
2MASS J00055986-0544160,DA+M,31853.0,7.93
2MASS J00065190+2846469,DA+M,12681.0,7.97
2MASS J00093550+2432513,DA+M,,
2MASS J00124720+0010483,DA+M,16149.0,9.06
2MASS J00174924-0009554,DA+M,54642.0,7.64
2MASS J00185379+0050215,DA+M,23613.0,7.59
2MASS J00215789-1103318,DA+M,19536.0,8.02
2MASS J00262040+1444094,DA+M,17912.0,7.83
2MASS J00272505-0044236,DA+dM,6300.0,8.8
2MASS J00280166+0021370,DA+M,25012.0,8.02
2MASS J00291036+1413105,DA+dM,6301.0,8.41
2MASS J00292126-0020326,DA:+M,10670.0,8.24
2MASS J00341617-0008495,DA+K,10080.0,9.89
2MASS J00360262+0700471,DA+M,32636.0,7.93
2MASS J00373107+0109465,DA+M,6301.0,8.3
2MASS J00392523+2548236,DA,25781.0,7.47
2MASS J00402005+1541561,DA+M,29050.0,8.1
2MASS J00423250+4154031,DA+M,8202.0,6.222
2MASS J00431925+1602198,DA+M,15782.0,7.86
2MASS J00541856+0057459,DA+M,19868.0,7.59
2MASS J00551992+0040393,DA+M,6300.0,7.41
2MASS J01021606-1015043,DA,17921.0,7.975
2MASS J01041212-5742485,DA6.5,7866.0,7.52
2MASS J01073468+0111572,DA+M,17505.0,8.39
2MASS J01100908+1326166,DA,21072.0,7.264
2MASS J01112388+0009351,DA+M,12321.0,7.495
2MASS J01122691+2511504,DA+M,23076.0,7.96
2MASS J01135583-0939380,DA+M,11565.0,9.09
2MASS J01140322-3750415,DA,83794.0,7.125
2MASS J01144753+2542298,DA+M,35505.0,7.76
2MASS J01163410+0029567,DA+M,14560.0,8.5
2MASS J01193237-0902190,DA:+M,6300.0,10.0
2MASS J01205327+3823565,DA+M,11835.0,7.4
2MASS J01225955+1542534,DA+M,11835.0,8.15
2MASS J01233286+4039063,DA+M,11302.0,8.11
2MASS J01332871+1424585,DA+M,38475.0,7.96
2MASS J01371606+0003108,DA+M,19193.0,8.39
2MASS J01390332-0942585,DA,,
2MASS J01400900-0012434,DA+M,6304.0,7.62
2MASS J01415247-0052420,DA+dMe,6300.0,8.66
2MASS J01423260-0835283,DA+M,9187.0,8.76
2MASS J01441057+2834091,DA?,55361.0,8.04
2MASS J01513281-0800481,DA+M,17106.0,7.97
2MASS J01522538-0058086,DA+M,8773.0,8.19
2MASS J01525699+0020443,DA+M,13588.0,8.1
2MASS J02035127+0040249,DA+dM,10790.0,8.17
2MASS J02061178+1324091,DA+M,13279.0,7.91
2MASS J02065916+2146541,DA+dM,6311.0,5.01
2MASS J02092575+0642141,DA+M,22811.0,8.89
2MASS J02105864-0902103,DA+dM,17653.0,7.3
2MASS J02114816+2115491,DAH,12244.0,8.752
2MASS J02123946+0018571,DA+M,13852.0,8.29
2MASS J02130919-0050253,DA+M,11734.0,8.69
2MASS J02141137+0115332,DA+dMe,6300.0,8.48
2MASS J02172631-0033179,DA+M,6300.0,8.73
2MASS J02174243+0053427,DA+M,30071.0,8.34
2MASS J02175909+0045178,DA+M,11173.0,8.38
2MASS J02182755+0044534,DA+M,11045.0,7.0
2MASS J02190372-0017338,DA+M,30772.0,8.3
2MASS J02230030+5544272,DA,6993.0,8.342
2MASS J02275966-0936044,DA+M,13904.0,8.24
2MASS J02351513-0007370,DA+M,24726.0,7.63
2MASS J02380438-0005457,DA+M,20566.0,7.72
2MASS J02393804+2736546,DA+M,12250.0,7.69
2MASS J02431060+0040443,DA+M,32222.0,8.26
2MASS J02464256+0041372,DA+M,16967.0,8.557
2MASS J02464588-0106239,DA+dM,6300.0,10.0
2MASS J02494291+3350326,DA+M,14065.0,8.3
2MASS J02494417+3307251,DA,5715.0,7.995
2MASS J02514192-0041298,DA+M,8554.0,8.217
2MASS J02530638+0013278,DA+M,20566.0,7.9
2MASS J02535886-0314161,DA+M4,10778.0,8.55
2MASS J02550929-0044148,DA+dMe,6300.0,8.71
2MASS J02561060-0730246,DA+M,15422.0,7.8
2MASS J02574779+0049021,DA+M,22811.0,7.795
2MASS J02581440+0638496,DA+M,7655.0,6.99
2MASS J02581788+0109458,DA+M,33185.0,7.75
2MASS J02585597-0113498,DA+M3,6300.0,5.05
2MASS J03005951+5432377,DA,7650.0,8.055
2MASS J03035196+0035483,DA+M,14472.0,9.21
2MASS J03054440-0749411,DA+M,17707.0,7.81
2MASS J03060719-0031144,DA+M,19193.0,7.9
2MASS J03085987-0027356,DA+M?,6300.0,8.33
2MASS J03090482-0101005,DA+dM,6300.0,8.6
2MASS J03203051+0442436,DA+M,16767.0,8.005
2MASS J03203873-0638229,DA+M,11173.0,8.3
2MASS J03213654-0016304,DA+M,28802.0,7.838
2MASS J03231689-0026122,DA+M,9958.0,8.24
2MASS J03241711+0001317,DA+M,6300.0,7.57
2MASS J03242239-0005161,DA+M,23506.0,7.95
2MASS J03260800+0110215,DA+M,12864.0,7.8
2MASS J03264321-0103374,DA+M,16806.0,8.05
2MASS J03275815-0022154,DA+M,12902.0,7.8
2MASS J03284292+0017498,DA+M,12504.0,7.56
2MASS J03313212-0054532,DA+M,28389.0,8.03
2MASS J03351380+0042528,DA:+M,,
2MASS J03354858+0038319,DA+M,18016.0,7.735
2MASS J03365613-0047276,DA+M,15246.0,7.79
2MASS J03380766-0007159,DA+M1,6301.0,7.76
2MASS J03385118-0024075,DA+M,,
2MASS J03403873-0029447,DA,7136.0,8.136
2MASS J03421684+0529173,DA1,,
2MASS J03422164+0053468,DA+K,12536.0,7.62
2MASS J03423797+0108586,DA+M,6302.0,6.16
2MASS J03432310+1958133,DA,7117.0,8.44
2MASS J03451471-0614210,DA+M,13904.0,8.24
2MASS J03524406+4647023,DA,,
2MASS J03582728-0440422,DA+M,17304.0,7.95
2MASS J03591245-0446301,DA:+M,8475.0,9.08
2MASS J04141155+4739125,DA1-2,,
2MASS J04171658+0555225,DA+M,22550.0,7.37
2MASS J04325585-3557289,DA,4971.0,7.854
2MASS J04332980+0414477,DA,4961.0,8.05
2MASS J04385692+6351343,DA+dM,13190.0,7.78
2MASS J04404691-0504128,DA+M,18120.0,7.79
2MASS J04421826-0448202,DA+M3,6300.0,5.0
2MASS J04555136+3840505,DA,5063.0,8.035
2MASS J05155350+2839169,DAH,6411.0,8.178
2MASS J06023672+0904237,DA,5956.0,7.941
2MASS J06313916+8228279,DA+M,23343.0,7.81
2MASS J06322939+2230050,DA,5449.0,7.961
2MASS J06421272+3816390,DA+M,10918.0,8.13
2MASS J06443019+2731115,DA,6961.0,8.383
2MASS J06472372+8407234,DA+M,12536.0,7.62
2MASS J06481277+3810058,DA+M,19640.0,8.19
2MASS J06502369+0459255,DA+?,,
2MASS J06503681+1657538,DA,5052.0,8.028
2MASS J06533021-3954292,DA,6135.0,8.022
2MASS J06533533-3955335,DA,7034.0,7.985
2MASS J06553850+5920276,DA+dM,12050.0,8.48
2MASS J07033689+3851423,DA:+M,,
2MASS J07052557+2707422,DA+M,,
2MASS J07111440-2518152,DA4.5,10708.0,7.414
2MASS J07130971+4012495,DA+M3,6300.0,5.0
2MASS J07213060+3742287,DA+M,11433.0,8.56
2MASS J07225106+3859446,DA:+M,,
2MASS J07254388+4145187,DA+M,18974.0,7.87
2MASS J07263538+3225544,DA+M,19868.0,8.28
2MASS J07292074+4304109,DA+M,11045.0,8.31
2MASS J07305983+1440523,DA+M,9293.0,7.15
2MASS J07312832+2643539,DA+M,,
2MASS J07344565+1554488,DA+M4,6300.0,5.0
2MASS J07345592+4105374,DA+M,19416.0,7.96
2MASS J07353430+6506487,DA+M4,6300.0,5.07
2MASS J07372134+4641369,DA+M,6301.0,5.3
2MASS J07390694+2743539,DA+M,18330.0,7.9
2MASS J07402413+2029372,DA,19173.0,7.994
2MASS J07415434+3808502,DAM,18052.0,7.955
2MASS J07430194+4106554,DA+M,18974.0,7.77
2MASS J07432963+2835280,DA+dMe,6300.0,10.0
2MASS J07435268+3225474,DA+M,12976.0,8.24
2MASS J07445238+1925262,DA+dM,6300.0,6.19
2MASS J07463208+1819111,DA+M,14228.0,7.48
2MASS J07473056+4304035,DA+M,16336.0,8.41
2MASS J07473355+4720043,DA+M,19868.0,7.71
2MASS J07475875+2229422,DA+M3,6300.0,5.0
2MASS J07484570+1802405,DA+M,33552.0,7.94
2MASS J07485048+3019450,DA,22000.0,8.0
2MASS J07500557+3933014,DA+M,17707.0,7.65
2MASS J07500993+3816415,DA+M,18120.0,7.72
2MASS J07503233+0918580,DA,5111.0,7.947
2MASS J07505185+0850201,DA+M,10307.0,8.32
2MASS J07514576+2711210,DA+dMe,6300.0,5.0
2MASS J07522315+4332122,DA+M,24726.0,7.84
2MASS J07531467+1909261,DA+M,6300.0,5.0
2MASS J07532593+1641329,DA+M,15422.0,8.99
2MASS J07535663-2524016,DA,4939.0,7.897
2MASS J07535949+1754457,DA+M,18974.0,8.34
2MASS J07545584+2947595,DA+M,27425.0,7.9
2MASS J07550868+1226011,DA+M,24726.0,7.9
2MASS J07565849+1149193,DA+M,26801.0,7.96
2MASS J07572107+3230545,DA+M,20804.0,7.76
2MASS J07591942+3219485,DA+M,14065.0,7.42
2MASS J08000388+5035454,DA+M3,22550.0,8.08
2MASS J08001182+1144373,DA+M,15964.0,7.76
2MASS J08002913+4911125,DA+M,7754.0,7.766
2MASS J08020022-5327499,DA,21970.0,7.82
2MASS J08023568+5257367,DA+M,11302.0,8.06
2MASS J08024297+1750009,DA,25276.0,7.42
2MASS J08030461+1218105,DA+M,15071.0,8.69
2MASS J08052387+1304353,DA:+M,,
2MASS J08052439+2324117,DA+M,28718.0,8.07
2MASS J08064338+4035174,DA+M,23076.0,7.83
2MASS J08065394+1607298,DA:+M,10548.0,8.48
2MASS J08073286+1127107,DA+M,6300.0,5.0
2MASS J08073695+0724121,DA+M,18542.0,7.98
